corp_code,corp_name,year,quarter,매출액,영업이익,순이익,영업현금흐름,수주잔고,수주잔고_증감
00379016,이엘케이,2024,1Q,1339972134.0,-278155625.0,352075998.0,265586791.0,0.0,0.0
00379016,이엘케이,2024,2Q,2021989271.0,-202819984.0,146634880.0,71428717.0,0.0,0.0
00379016,이엘케이,2024,3Q,1242113409.0,-11304931244.0,-11037161943.0,43616700.0,0.0,0.0
00379016,이엘케이,2024,4Q,5679557852.0,-613882833.0,-362327177.0,-4834662167.0,0.0,0.0
00379016,이엘케이,2025,1Q,795845725.0,-540051783.0,-572535826.0,1245174.0,0.0,0.0
00379016,이엘케이,2025,2Q,1277648791.0,-187800633.0,-171384046.0,256733035.0,0.0,0.0
00523307,다원시스,2024,1Q,54154162123.0,2184071530.0,10952560578.0,15979688656.0,0.0,0.0
00523307,다원시스,2024,2Q,96980424740.0,10956267736.0,13869074195.0,-10769447321.0,0.0,0.0
00523307,다원시스,2024,3Q,73889746806.0,1901187232.0,-1273496937.0,-34924867156.0,0.0,0.0
00523307,다원시스,2024,4Q,301518095516.0,7647289177.0,11913329273.0,-50915459139.0,0.0,0.0
00523307,다원시스,2025,1Q,43974585683.0,-14215729785.0,-19430652879.0,-16801927150.0,0.0,0.0
00523307,다원시스,2025,2Q,35463273344.0,-24110973458.0,-19615944612.0,-2518497443.0,0.0,0.0
00523307,다원시스,2025,3Q,27994198273.0,-19275459089.0,-18890454206.0,-29128579651.0,0.0,0.0
00962223,지니언스,2024,1Q,6986336147.0,-451795050.0,332751091.0,26891478.0,0.0,0.0
00962223,지니언스,2024,2Q,11888600628.0,1863742849.0,2163037637.0,5129509175.0,0.0,0.0
00962223,지니언스,2024,3Q,10392424096.0,2241112983.0,2216537982.0,5731990483.0,0.0,0.0
00962223,지니언스,2024,4Q,49605420747.0,9839923500.0,10908526190.0,9788209917.0,0.0,0.0
00962223,지니언스,2025,1Q,9353940781.0,36512942.0,808279040.0,1708852437.0,0.0,0.0
00962223,지니언스,2025,2Q,11426398906.0,1056979749.0,995864145.0,3952759855.0,0.0,0.0
00962223,지니언스,2025,3Q,10425264197.0,1070199471.0,1410351801.0,4496990893.0,0.0,0.0
00105156,극동유화,2024,1Q,270330374614.0,6258209318.0,3499558899.0,7409535861.0,0.0,0.0
00105156,극동유화,2024,2Q,280245199445.0,7661583806.0,5577370808.0,16803105797.0,0.0,0.0
00105156,극동유화,2024,3Q,257856990937.0,5169960034.0,39610841.0,24896971446.0,0.0,0.0
00105156,극동유화,2024,4Q,1062833512172.0,22878631372.0,9642293305.0,23876901205.0,0.0,0.0
00105156,극동유화,2025,1Q,245855441286.0,5236544981.0,1775381028.0,6540773822.0,0.0,0.0
00105156,극동유화,2025,2Q,240814522042.0,3879095486.0,-505383340.0,9920964982.0,0.0,0.0
00105156,극동유화,2025,3Q,261604273382.0,3671907603.0,1081446573.0,5089970074.0,0.0,0.0
00351630,세코닉스,2024,1Q,121993550722.0,4166451457.0,2272077512.0,17263140348.0,149231554.0,0.0
00351630,세코닉스,2024,2Q,116470496387.0,4002772871.0,3967220806.0,16608184964.0,142731355.0,-6500199.0
00351630,세코닉스,2024,3Q,114183786596.0,3279674210.0,1879916941.0,25796271767.0,217343810.0,74612455.0
00351630,세코닉스,2024,4Q,462708965937.0,14423020838.0,9978400264.0,45000750092.0,9593573.0,-207750237.0
00351630,세코닉스,2025,1Q,118833691323.0,2406802520.0,3429683489.0,4655575789.0,12263529.0,2669956.0
00351630,세코닉스,2025,2Q,117242354699.0,4249666369.0,2183326147.0,2126433911.0,13380538.0,1117009.0
00351630,세코닉스,2025,3Q,100834948448.0,412469466.0,1303821036.0,-9649799595.0,9850732.0,-3529806.0
00867098,티로보틱스,2024,1Q,15410919442.0,-2372826140.0,-2103598466.0,-9866729953.0,0.0,0.0
00867098,티로보틱스,2024,2Q,12118092183.0,-3565675779.0,-729358350.0,-2493023873.0,0.0,0.0
